"No.","Receive Frequency","Transmit Frequency","Color Code","Slot","Name"
"1","434.87500","432.87500","0","Slot2","Botkyrka 2"
"2","434.56250","432.56250","0","Slot2","Brandbergen"
"3","434.80000","432.80000","0","Slot2","Brottby 2"
"4","434.83750","432.83750","0","Slot2","Dalaro"
"5","434.68750","432.68750","0","Slot2","Galo"
"6","434.92500","432.92500","0","Slot2","Johanneshov"
"7","145.57500","144.97500","0","Slot2","Farsta"
"8","434.95000","432.95000","0","Slot2","Kista 5"
"9","434.98750","432.98750","0","Slot2","Kista 6"
"10","434.81250","432.81250","0","Slot2","Norrtalje"
"11","434.61250","432.61250","0","Slot2","Nynashamn 2"
"12","434.88750","432.88750","0","Slot2","Sigtuna"
"13","434.96250","432.96250","0","Slot2","Stockholm City"
"14","434.51250","432.51250","12","Slot2","Tyreso"
"15","434.73750","432.73750","0","Slot2","Taby 2"
"16","434.76250","432.76250","0","Slot2","Upplands Vasby 2"
"17","434.97500","432.97500","0","Slot2","Varmdo"
"18","145.73750","145.13750","0","Slot2","Almsta 1"
"19","434.60000","432.60000","0","Slot2","Almsta 2"
"20","434.80000","432.80000","2","Slot2","Boden 2"
"21","145.72500","145.12500","2","Slot2","Kalix 1"
"22","434.72500","432.72500","2","Slot2","Kalix 2"
"23","434.75000","432.75000","2","Slot2","Kalix 3"
"24","434.98750","432.98750","2","Slot2","Kalix 4"
"25","434.51250","432.51250","2","Slot2","Kiruna 2"
"26","434.90000","432.90000","2","Slot2","Lulea 2"
"27","434.85000","432.85000","2","Slot2","Pitea 3"
"28","145.67500","145.07500","2","Slot2","Seskaro"
"29","434.97500","432.97500","2","Slot2","Vannas 3"
"30","434.52500","432.52500","3","Slot2","Follinge"
"31","434.73750","432.73750","3","Slot2","Gavle 1"
"32","145.71250","145.11250","3","Slot2","Hudiksvall 1"
"33","434.57500","432.57500","3","Slot2","Hudiksvall 2"
"34","434.80000","432.80000","1","Slot2","Sundsvall 3"
"35","434.98750","432.98750","3","Slot2","Sundsvall 4"
"36","145.57500","144.97500","3","Slot2","Soderhamn 1"
"37","434.52500","432.52500","3","Slot2","Soderhamn 3"
"38","145.57500","144.97500","3","Slot2","Ornskoldsvik 1"
"39","434.56250","432.56250","3","Slot2","Ostersund 3"
"40","434.97500","432.97500","4","Slot2","Arvika 2"
"41","434.85000","432.85000","12","Slot2","Borlange 2"
"42","434.62500","432.62500","1","Slot2","Falun 2"
"43","145.75000","145.15000","4","Slot2","Karlskoga 1"
"44","434.85000","432.85000","4","Slot2","Karlskoga 2"
"45","145.58750","144.98750","4","Slot2","Leksand 1"
"46","434.61250","432.61250","4","Slot2","Leksand 3"
"47","434.66250","432.66250","4","Slot2","Vansbro 3"
"48","434.72500","432.72500","4","Slot2","Orebro 2"
"49","145.58750","144.98750","5","Slot2","Eskilstuna 1"
"50","434.81250","432.81250","5","Slot2","Finspang 2"
"51","145.63750","145.03750","5","Slot2","Flen 1"
"52","434.52500","432.52500","5","Slot2","Knivsta"
"53","145.62500","145.02500","5","Slot2","Linkoping 1"
"54","434.51250","432.51250","5","Slot2","Linkoping 4"
"55","434.87500","432.87500","5","Slot2","Linkoping 7"
"56","434.95000","432.95000","5","Slot2","Norrkoping 4"
