"No.","Receive Frequency","Transmit Frequency","Color Code","Slot","Name"
"1","434.87500","432.87500","0","Slot2","Botkyrka 2 U"
"2","434.56250","432.56250","0","Slot2","Brandbergen U"
"3","434.83750","432.83750","0","Slot2","Dalaro U"
"4","434.68750","432.68750","0","Slot2","Galo U"
"5","434.92500","432.92500","0","Slot2","Johanneshov U"
"6","145.57500","144.97500","0","Slot2","Hogdalen V"
"7","145.58750","144.98750","0","Slot2","Nynashamn 7 V"
"8","434.61250","432.61250","0","Slot2","Nynashamn 2 U"
"9","434.88750","432.88750","0","Slot2","Sigtuna U"
"10","434.51250","432.51250","12","Slot2","Tyreso U"
"11","434.73750","432.73750","0","Slot2","Taby 2 U"
"12","434.76250","432.76250","0","Slot2","Upplands Vasby U"
"13","145.73750","145.13750","0","Slot2","Almsta 1 V"
"14","434.60000","432.60000","0","Slot2","Almsta 2 U"
"15","434.80000","432.80000","2","Slot2","Boden 2"
"16","145.72500","145.12500","2","Slot2","Kalix 1"
"17","434.72500","432.72500","2","Slot2","Kalix-Vattentorn"
"18","434.75000","432.75000","2","Slot2","Kalix 3"
"19","434.98750","432.98750","2","Slot2","Kalix 4"
"20","434.51250","432.51250","2","Slot2","Kiruna 2"
"21","434.90000","432.90000","2","Slot2","Lulea 2"
"22","434.85000","432.85000","2","Slot2","Pitea 3"
"23","145.67500","145.07500","2","Slot2","Seskaro"
"24","434.97500","432.97500","2","Slot2","Vannas 3"
"25","434.52500","432.52500","3","Slot2","Follinge"
"26","434.73750","432.73750","3","Slot2","Gavle 1"
"27","145.71250","145.11250","3","Slot2","Hudiksvall 1"
"28","434.57500","432.57500","3","Slot2","Hudiksvall 2"
"29","434.80000","432.80000","1","Slot2","Sundsvall 3"
"30","434.98750","432.98750","3","Slot2","Sundsvall 4"
"31","434.52500","432.52500","3","Slot2","Soderhamn 3"
"32","145.57500","144.97500","3","Slot2","Ornskoldsvik 1"
"33","434.56250","432.56250","3","Slot2","Ostersund 3"
"34","434.97500","432.97500","4","Slot2","Arvika 2"
"35","434.85000","432.85000","12","Slot2","Borlange 2"
"36","434.62500","432.62500","1","Slot2","Falun 2"
"37","145.75000","145.15000","4","Slot2","Karlskoga 1"
"38","434.85000","432.85000","4","Slot2","Karlskoga 2"
"39","145.58750","144.98750","4","Slot2","Leksand 1"
"40","434.61250","432.61250","4","Slot2","Leksand 3"
"41","434.66250","432.66250","4","Slot2","Vansbro 3"
"42","434.72500","432.72500","4","Slot2","Orebro 2"
"43","145.63750","145.03750","5","Slot2","Flen 1"
"44","434.52500","432.52500","5","Slot2","Knivsta"
"45","145.62500","145.02500","5","Slot2","Linkoping 1"
"46","434.51250","432.51250","5","Slot2","Linkoping 4"
"47","434.87500","432.87500","5","Slot2","Linkoping 7"
"48","434.95000","432.95000","5","Slot2","Norrkoping 4"
"49","434.63750","432.63750","5","Slot2","Nykoping 2"
"50","434.93750","432.93750","5","Slot2","Sala 2"
"51","145.58750","144.98750","5","Slot2","Uppsala 1"
"52","434.51250","432.51250","1","Slot2","Uppsala 4"
"53","434.58750","432.58750","5","Slot2","Uppsala 5"
"54","434.63750","432.63750","5","Slot2","Uppsala 6"
"55","434.53750","432.53750","6","Slot2","Alingsas 3"
"56","145.70000","145.10000","6","Slot2","Bengtsfors 1"
"57","434.68750","432.68750","6","Slot2","Bengtsfors 2"
